collector_number,card_name,source_metacard_id,product_count,cardmarket_product_ids,product_names,detected_variants,detected_finishes,rarities,has_reverse_holo,has_holo,has_normal,has_price_low,ambiguity_status,notes
,Sandslash,421107,1,719470,Sandslash [Rumble | Spike Rend],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Scyther,421202,1,719576,Scyther [Helpful Slash | Slicing Blade],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Seadra,421196,1,719570,Seadra [Blinding Ink],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Seaking,421198,1,719572,Seaking [Swim Freely | Aqua Horn],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Seel,421165,1,719528,Seel [Chilly],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Shellder,421169,1,719543,Shellder [Shell Press],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Slowbro,421159,1,719522,Slowbro [Big Yawn | Laid-Back Tackle],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Slowpoke,421158,1,719521,Slowpoke [Sea Bathing | Headbutt],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Snorlax,421222,2,"719596, 719634",Snorlax [Voraciousness | Thudding Press] || Snorlax [Voraciousness | Thudding Press],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Spearow,421100,1,719463,Spearow [Evolutionary Advantage | Speed Dive],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Squirtle,421086,2,"719449, 719623",Squirtle [Withdraw | Skull Bash] || Squirtle [Withdraw | Skull Bash],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Starmie,421200,1,719574,Starmie [Mysterious Comet | Speed Attack],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Staryu,421199,1,719573,Staryu [Swift],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Switch,224028,1,719662,Switch,not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Tangela,421193,2,"719567, 719631",Tangela [Tactful Tangling] || Tangela [Tactful Tangling],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Tauros,421207,1,719581,Tauros [Gather the Crew | Rage],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Tentacool,421151,1,719514,Tentacool [Tingle | Watering],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Tentacruel,421152,1,719515,Tentacruel [Poisonous Whip | Tentacular Panic],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Vaporeon,421213,1,719587,Vaporeon [Spiral Drain | Fighting Whirlpool],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Venomoth,421128,1,719491,Venomoth [Perplexing Powder | Speed Wing],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Venonat,421127,1,719490,Venonat [Gnaw | Beam],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Venusaur ex,421082,3,"719445, 719637, 719653",Venusaur ex [Tranquil Flower | Dangerous Toxwhip] || Venusaur ex [Tranquil Flower | Dangerous Toxwhip] || Venusaur ex [Tranquil Flower | Dangerous Toxwhip],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Victreebel,421150,1,719513,Victreebel [Spit Up | Slow-Acting Acid],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Vileplume,421124,1,719487,Vileplume [Fully Blooming Energy | Solar Beam],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Voltorb,421179,1,719553,Voltorb [Tumbling Attack],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Vulpix,421116,1,719479,Vulpix [Super Singe],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Wartortle,421087,2,"719450, 719624",Wartortle [Free Diving | Spinning Attack] || Wartortle [Free Diving | Spinning Attack],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Weedle,421092,1,719455,Weedle [Ram | Bug Bite],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Weepinbell,421149,1,719512,Weepinbell [Cut | Spray Fluid],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Weezing,421189,1,719563,Weezing [Let's Have a Blast | Spinning Fumes],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
,Wigglytuff ex,421119,2,"719482, 719642",Wigglytuff ex [Expanding Body | Friend Tackle] || Wigglytuff ex [Expanding Body | Friend Tackle],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Zapdos ex,421224,3,"719598, 719647, 719657",Zapdos ex [Voltaic Float | Multishot Lightning] || Zapdos ex [Voltaic Float | Multishot Lightning] || Zapdos ex [Voltaic Float | Multishot Lightning],unresolved,unresolved,not available,unknown,unknown,unknown,yes,multi_product_unresolved,Multiple Product IDs share the same source idMetacard/name; source has no field explaining the difference.
,Zubat,421120,1,719483,Zubat [Revealing Echo | Bite],not exposed,unresolved,not available,unknown,unknown,unknown,yes,single_product_unresolved,"One Product ID observed, but official collector number and variant/finish are not present."
