collector_number,printed_set_number,card_name,tcgdex_name,category,pokemon_species,dex_number,rarity,rarity_group,hp,pokemon_type,stage,evolves_from,is_ex,artist,regulation_mark,abilities,attacks,weaknesses,retreat,has_normal,has_holo,has_reverse_holo,variant_confidence,official_source,metadata_sources,source_confidence,source_notes,tcgdex_id,pokemon_tcg_api_id,image
041,041,Zubat,Zubat,Pokemon,Zubat,[41],Common,Common,40,"[""Darkness""]",Basic,,0,Scav,G,"[""Revealing Echo""]","[""Bite""]","[{""type"":""Lightning"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-041,sv3pt5-41,https://assets.tcgdex.net/en/sv/sv03.5/041
042,042,Golbat,Golbat,Pokemon,Golbat,[42],Uncommon,Uncommon,80,"[""Darkness""]",Stage1,Zubat,0,Scav,G,[],"[""Skill Dive""]","[{""type"":""Lightning"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-042,sv3pt5-42,https://assets.tcgdex.net/en/sv/sv03.5/042
043,043,Oddish,Oddish,Pokemon,Oddish,[43],Common,Common,60,"[""Grass""]",Basic,,0,Sekio,G,[],"[""Razor Leaf""]","[{""type"":""Fire"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-043,sv3pt5-43,https://assets.tcgdex.net/en/sv/sv03.5/043
044,044,Gloom,Gloom,Pokemon,Gloom,[44],Uncommon,Uncommon,70,"[""Grass""]",Stage1,Oddish,0,Sekio,G,"[""Semi-Blooming Energy""]","[""Drool""]","[{""type"":""Fire"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-044,sv3pt5-44,https://assets.tcgdex.net/en/sv/sv03.5/044
045,045,Vileplume,Vileplume,Pokemon,Vileplume,[45],Rare,Rare,140,"[""Grass""]",Stage2,Gloom,0,Sekio,G,"[""Fully Blooming Energy""]","[""Solar Beam""]","[{""type"":""Fire"",""value"":""×2""}]",2,0,1,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-045,sv3pt5-45,https://assets.tcgdex.net/en/sv/sv03.5/045
046,046,Paras,Paras,Pokemon,Paras,[46],Common,Common,70,"[""Grass""]",Basic,,0,Yoriyuki Ikegami,G,[],"[""Stampede"",""Spore Ball""]","[{""type"":""Fire"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-046,sv3pt5-46,https://assets.tcgdex.net/en/sv/sv03.5/046
047,047,Parasect,Parasect,Pokemon,Parasect,[47],Uncommon,Uncommon,120,"[""Grass""]",Stage1,Paras,0,Yoriyuki Ikegami,G,[],"[""Spread Filaments"",""Claw Slash""]","[{""type"":""Fire"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-047,sv3pt5-47,https://assets.tcgdex.net/en/sv/sv03.5/047
048,048,Venonat,Venonat,Pokemon,Venonat,[48],Common,Common,70,"[""Grass""]",Basic,,0,Kagemaru Himeno,G,[],"[""Gnaw"",""Beam""]","[{""type"":""Fire"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-048,sv3pt5-48,https://assets.tcgdex.net/en/sv/sv03.5/048
049,049,Venomoth,Venomoth,Pokemon,Venomoth,[49],Uncommon,Uncommon,90,"[""Grass""]",Stage1,Venonat,0,Kagemaru Himeno,G,[],"[""Perplexing Powder"",""Speed Wing""]","[{""type"":""Fire"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-049,sv3pt5-49,https://assets.tcgdex.net/en/sv/sv03.5/049
050,050,Diglett,Diglett,Pokemon,Diglett,[50],Common,Common,50,"[""Fighting""]",Basic,,0,Miki Tanaka,G,[],"[""Headbutt Bounce"",""Mud-Slap""]","[{""type"":""Grass"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-050,sv3pt5-50,https://assets.tcgdex.net/en/sv/sv03.5/050
051,051,Dugtrio,Dugtrio,Pokemon,Dugtrio,[51],Uncommon,Uncommon,90,"[""Fighting""]",Stage1,Diglett,0,Miki Tanaka,G,[],"[""Headbutt Bounce"",""Mud Bomb""]","[{""type"":""Grass"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-051,sv3pt5-51,https://assets.tcgdex.net/en/sv/sv03.5/051
052,052,Meowth,Meowth,Pokemon,Meowth,[52],Common,Common,70,"[""Colorless""]",Basic,,0,Naoki Saito,G,[],"[""Come Here Right Meow"",""Dig Claws""]","[{""type"":""Fighting"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-052,sv3pt5-52,https://assets.tcgdex.net/en/sv/sv03.5/052
053,053,Persian,Persian,Pokemon,Persian,[53],Uncommon,Uncommon,110,"[""Colorless""]",Stage1,Meowth,0,Naoki Saito,G,"[""Rocket Call""]","[""Slash""]","[{""type"":""Fighting"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-053,sv3pt5-53,https://assets.tcgdex.net/en/sv/sv03.5/053
054,054,Psyduck,Psyduck,Pokemon,Psyduck,[54],Common,Common,70,"[""Water""]",Basic,,0,Taira Akitsu,G,[],"[""Overthink"",""Water Gun""]","[{""type"":""Lightning"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-054,sv3pt5-54,https://assets.tcgdex.net/en/sv/sv03.5/054
055,055,Golduck,Golduck,Pokemon,Golduck,[55],Uncommon,Uncommon,110,"[""Water""]",Stage1,Psyduck,0,Taira Akitsu,G,[],"[""Aquatic Rescue"",""Super Splash""]","[{""type"":""Lightning"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-055,sv3pt5-55,https://assets.tcgdex.net/en/sv/sv03.5/055
056,056,Mankey,Mankey,Pokemon,Mankey,[56],Common,Common,60,"[""Fighting""]",Basic,,0,Mina Nakai,G,[],"[""Thrash""]","[{""type"":""Psychic"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-056,sv3pt5-56,https://assets.tcgdex.net/en/sv/sv03.5/056
057,057,Primeape,Primeape,Pokemon,Primeape,[57],Uncommon,Uncommon,120,"[""Fighting""]",Stage1,Mankey,0,Mina Nakai,G,[],"[""Rant and Rave"",""Raging Smash""]","[{""type"":""Psychic"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-057,sv3pt5-57,https://assets.tcgdex.net/en/sv/sv03.5/057
058,058,Growlithe,Growlithe,Pokemon,Growlithe,[58],Common,Common,80,"[""Fire""]",Basic,,0,Atsushi Furusawa,G,[],"[""Vaporize""]","[{""type"":""Water"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-058,sv3pt5-58,https://assets.tcgdex.net/en/sv/sv03.5/058
059,059,Arcanine,Arcanine,Pokemon,Arcanine,[59],Uncommon,Uncommon,150,"[""Fire""]",Stage1,Growlithe,0,Atsushi Furusawa,G,[],"[""Torrid Torrent"",""Dynamite Fang""]","[{""type"":""Water"",""value"":""×2""}]",4,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-059,sv3pt5-59,https://assets.tcgdex.net/en/sv/sv03.5/059
060,060,Poliwag,Poliwag,Pokemon,Poliwag,[60],Common,Common,60,"[""Water""]",Basic,,0,Kurata So,G,[],"[""Bubble""]","[{""type"":""Lightning"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-060,sv3pt5-60,https://assets.tcgdex.net/en/sv/sv03.5/060
061,061,Poliwhirl,Poliwhirl,Pokemon,Poliwhirl,[61],Common,Common,90,"[""Water""]",Stage1,Poliwag,0,Kurata So,G,[],"[""Wave Splash"",""Frog Hop""]","[{""type"":""Lightning"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-061,sv3pt5-61,https://assets.tcgdex.net/en/sv/sv03.5/061
062,062,Poliwrath,Poliwrath,Pokemon,Poliwrath,[62],Uncommon,Uncommon,160,"[""Water""]",Stage2,Poliwhirl,0,Kurata So,G,[],"[""Bubble Beam"",""Heroic Punch""]","[{""type"":""Lightning"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-062,sv3pt5-62,https://assets.tcgdex.net/en/sv/sv03.5/062
063,063,Abra,Abra,Pokemon,Abra,[63],Common,Common,50,"[""Psychic""]",Basic,,0,Mitsuhiro Arita,G,[],"[""Psyshot""]","[{""type"":""Darkness"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-063,sv3pt5-63,https://assets.tcgdex.net/en/sv/sv03.5/063
064,064,Kadabra,Kadabra,Pokemon,Kadabra,[64],Uncommon,Uncommon,80,"[""Psychic""]",Stage1,Abra,0,Mitsuhiro Arita,G,[],"[""Teleportation Attack""]","[{""type"":""Darkness"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-064,sv3pt5-64,https://assets.tcgdex.net/en/sv/sv03.5/064
065,065,Alakazam ex,Alakazam ex,Pokemon,Alakazam,[65],Double rare,Double Rare,310,"[""Psychic""]",Stage2,Kadabra,1,Mitsuhiro Arita,G,[],"[""Mind Jack"",""Dimensional Hand""]","[{""type"":""Darkness"",""value"":""×2""}]",1,0,1,0,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-065,sv3pt5-65,https://assets.tcgdex.net/en/sv/sv03.5/065
066,066,Machop,Machop,Pokemon,Machop,[66],Common,Common,70,"[""Fighting""]",Basic,,0,Ryuta Fuse,G,[],"[""Mountain Mashing"",""Punch""]","[{""type"":""Psychic"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-066,sv3pt5-66,https://assets.tcgdex.net/en/sv/sv03.5/066
067,067,Machoke,Machoke,Pokemon,Machoke,[67],Uncommon,Uncommon,100,"[""Fighting""]",Stage1,Machop,0,Ryuta Fuse,G,[],"[""Mountain Ramming""]","[{""type"":""Psychic"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-067,sv3pt5-67,https://assets.tcgdex.net/en/sv/sv03.5/067
068,068,Machamp,Machamp,Pokemon,Machamp,[68],Rare,Rare,180,"[""Fighting""]",Stage2,Machoke,0,Ryuta Fuse,G,"[""Guts""]","[""Mountain Chopping""]","[{""type"":""Psychic"",""value"":""×2""}]",2,0,1,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-068,sv3pt5-68,https://assets.tcgdex.net/en/sv/sv03.5/068
069,069,Bellsprout,Bellsprout,Pokemon,Bellsprout,[69],Common,Common,60,"[""Grass""]",Basic,,0,Jerky,G,[],"[""Cut"",""Bind Down""]","[{""type"":""Fire"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-069,sv3pt5-69,https://assets.tcgdex.net/en/sv/sv03.5/069
070,070,Weepinbell,Weepinbell,Pokemon,Weepinbell,[70],Common,Common,90,"[""Grass""]",Stage1,Bellsprout,0,Jerky,G,[],"[""Cut"",""Spray Fluid""]","[{""type"":""Fire"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-070,sv3pt5-70,https://assets.tcgdex.net/en/sv/sv03.5/070
071,071,Victreebel,Victreebel,Pokemon,Victreebel,[71],Uncommon,Uncommon,150,"[""Grass""]",Stage2,Weepinbell,0,Jerky,G,[],"[""Spit Up"",""Slow-Acting Acid""]","[{""type"":""Fire"",""value"":""×2""}]",3,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-071,sv3pt5-71,https://assets.tcgdex.net/en/sv/sv03.5/071
072,072,Tentacool,Tentacool,Pokemon,Tentacool,[72],Common,Common,60,"[""Water""]",Basic,,0,miki kudo,G,[],"[""Tingle"",""Watering""]","[{""type"":""Lightning"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-072,sv3pt5-72,https://assets.tcgdex.net/en/sv/sv03.5/072
073,073,Tentacruel,Tentacruel,Pokemon,Tentacruel,[73],Uncommon,Uncommon,120,"[""Water""]",Stage1,Tentacool,0,miki kudo,G,[],"[""Poisonous Whip"",""Tentacular Panic""]","[{""type"":""Lightning"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-073,sv3pt5-73,https://assets.tcgdex.net/en/sv/sv03.5/073
074,074,Geodude,Geodude,Pokemon,Geodude,[74],Common,Common,80,"[""Fighting""]",Basic,,0,Uta,G,[],"[""Stiffen"",""Knuckle Punch""]","[{""type"":""Grass"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-074,sv3pt5-74,https://assets.tcgdex.net/en/sv/sv03.5/074
075,075,Graveler,Graveler,Pokemon,Graveler,[75],Uncommon,Uncommon,110,"[""Fighting""]",Stage1,Geodude,0,Uta,G,[],"[""Rock Cannon"",""Heavy Impact""]","[{""type"":""Grass"",""value"":""×2""}]",3,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-075,sv3pt5-75,https://assets.tcgdex.net/en/sv/sv03.5/075
076,076,Golem ex,Golem ex,Pokemon,Golem,[76],Double rare,Double Rare,330,"[""Fighting""]",Stage2,Graveler,1,Uta,G,[],"[""Dynamic Roll"",""Rock Blaster""]","[{""type"":""Grass"",""value"":""×2""}]",4,0,1,0,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-076,sv3pt5-76,https://assets.tcgdex.net/en/sv/sv03.5/076
077,077,Ponyta,Ponyta,Pokemon,Ponyta,[77],Common,Common,70,"[""Fire""]",Basic,,0,Nurikabe,G,[],"[""Collect"",""Flop""]","[{""type"":""Water"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-077,sv3pt5-77,https://assets.tcgdex.net/en/sv/sv03.5/077
078,078,Rapidash,Rapidash,Pokemon,Rapidash,[78],Uncommon,Uncommon,100,"[""Fire""]",Stage1,Ponyta,0,Nurikabe,G,[],"[""Singe"",""Mach Turn""]","[{""type"":""Water"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-078,sv3pt5-78,https://assets.tcgdex.net/en/sv/sv03.5/078
079,079,Slowpoke,Slowpoke,Pokemon,Slowpoke,[79],Common,Common,80,"[""Psychic""]",Basic,,0,OKACHEKE,G,[],"[""Sea Bathing"",""Headbutt""]","[{""type"":""Darkness"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-079,sv3pt5-79,https://assets.tcgdex.net/en/sv/sv03.5/079
080,080,Slowbro,Slowbro,Pokemon,Slowbro,[80],Uncommon,Uncommon,130,"[""Psychic""]",Stage1,Slowpoke,0,OKACHEKE,G,[],"[""Big Yawn"",""Laid-Back Tackle""]","[{""type"":""Darkness"",""value"":""×2""}]",2,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-080,sv3pt5-80,https://assets.tcgdex.net/en/sv/sv03.5/080
081,081,Magnemite,Magnemite,Pokemon,Magnemite,[81],Common,Common,60,"[""Lightning""]",Basic,,0,Yuka Morii,G,[],"[""Tiny Charge"",""Big Explosion""]","[{""type"":""Fighting"",""value"":""×2""}]",1,1,0,1,SUPPORTED,https://assets.pokemon.com/assets/cms2/pdf/trading-card-game/checklist/mew_web_cardlist_en.pdf,official_pokemon_checklist;tcgdex;pokemon_tcg_api,HIGH for number/name/set membership; MEDIUM for metadata from structured secondary sources,Official PDF extraction does not expose per-row rarity icons as text; rarity is sourced from TCGdex/API and remains separately attributed.,sv03.5-081,sv3pt5-81,https://assets.tcgdex.net/en/sv/sv03.5/081
