collector_number,card_name,rarity,finish,variant_status,variant_source,variant_confidence,variant_notes,detected_treatment,treatment_source,treatment_confidence
070,Weepinbell,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733665; local_target_ids=none; finish is separate from rarity.,,,
070,Weepinbell,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733665; local_target_ids=none; finish is separate from rarity.,,,
071,Victreebel,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733666; local_target_ids=none; finish is separate from rarity.,,,
071,Victreebel,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733666; local_target_ids=none; finish is separate from rarity.,,,
072,Tentacool,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733667; local_target_ids=none; finish is separate from rarity.,,,
072,Tentacool,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733667; local_target_ids=none; finish is separate from rarity.,,,
073,Tentacruel,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733668; local_target_ids=none; finish is separate from rarity.,,,
073,Tentacruel,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733668; local_target_ids=none; finish is separate from rarity.,,,
074,Geodude,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733669; local_target_ids=none; finish is separate from rarity.,,,
074,Geodude,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733669; local_target_ids=none; finish is separate from rarity.,,,
075,Graveler,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733670; local_target_ids=none; finish is separate from rarity.,,,
075,Graveler,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733670; local_target_ids=none; finish is separate from rarity.,,,
076,Golem ex,Double rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733671; local_target_ids=none; finish is separate from rarity.,,,
077,Ponyta,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733672; local_target_ids=none; finish is separate from rarity.,,,
077,Ponyta,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733672; local_target_ids=none; finish is separate from rarity.,,,
078,Rapidash,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733673; local_target_ids=none; finish is separate from rarity.,,,
078,Rapidash,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733673; local_target_ids=none; finish is separate from rarity.,,,
079,Slowpoke,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733674; local_target_ids=none; finish is separate from rarity.,,,
079,Slowpoke,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733674; local_target_ids=none; finish is separate from rarity.,,,
080,Slowbro,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733675; local_target_ids=none; finish is separate from rarity.,,,
080,Slowbro,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733675; local_target_ids=none; finish is separate from rarity.,,,
081,Magnemite,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733676; local_target_ids=none; finish is separate from rarity.,,,
081,Magnemite,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733676; local_target_ids=none; finish is separate from rarity.,,,
082,Magneton,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733677; local_target_ids=none; finish is separate from rarity.,,,
082,Magneton,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733677; local_target_ids=none; finish is separate from rarity.,,,
083,Farfetch’d,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733678; local_target_ids=none; finish is separate from rarity.,,,
083,Farfetch’d,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733678; local_target_ids=none; finish is separate from rarity.,,,
084,Doduo,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733679; local_target_ids=none; finish is separate from rarity.,,,
084,Doduo,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733679; local_target_ids=none; finish is separate from rarity.,,,
085,Dodrio,Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733680; local_target_ids=none; finish is separate from rarity.,,,
085,Dodrio,Rare,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733680; local_target_ids=none; finish is separate from rarity.,,,
086,Seel,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733681; local_target_ids=none; finish is separate from rarity.,,,
086,Seel,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733681; local_target_ids=none; finish is separate from rarity.,,,
087,Dewgong,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733682; local_target_ids=none; finish is separate from rarity.,,,
087,Dewgong,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733682; local_target_ids=none; finish is separate from rarity.,,,
088,Grimer,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733683; local_target_ids=none; finish is separate from rarity.,,,
088,Grimer,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733683; local_target_ids=none; finish is separate from rarity.,,,
089,Muk,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733684; local_target_ids=none; finish is separate from rarity.,,,
089,Muk,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733684; local_target_ids=none; finish is separate from rarity.,,,
090,Shellder,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733685; local_target_ids=none; finish is separate from rarity.,,,
090,Shellder,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733685; local_target_ids=none; finish is separate from rarity.,,,
091,Cloyster,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733686; local_target_ids=none; finish is separate from rarity.,,,
091,Cloyster,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733686; local_target_ids=none; finish is separate from rarity.,,,
092,Gastly,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733687; local_target_ids=none; finish is separate from rarity.,,,
092,Gastly,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733687; local_target_ids=none; finish is separate from rarity.,,,
093,Haunter,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733688; local_target_ids=none; finish is separate from rarity.,,,
093,Haunter,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733688; local_target_ids=none; finish is separate from rarity.,,,
094,Gengar,Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,"Cardmarket candidate ids=733689,861151; local_target_ids=none; finish is separate from rarity.",foil=galaxy,tcgdex.variants_detailed,SUPPORTED
094,Gengar,Rare,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733689; local_target_ids=none; finish is separate from rarity.,,,
094,Gengar,Rare,holo,SUPPORTED,tcgdex.variants_detailed,MEDIUM,Treatment is preserved separately and is not promoted to a persisted catalog variant in this sprint.,foil=galaxy,tcgdex.variants_detailed,MEDIUM
095,Onix,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733690; local_target_ids=none; finish is separate from rarity.,,,
095,Onix,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733690; local_target_ids=none; finish is separate from rarity.,,,
096,Drowzee,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733691; local_target_ids=none; finish is separate from rarity.,,,
096,Drowzee,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733691; local_target_ids=none; finish is separate from rarity.,,,
097,Hypno,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733692; local_target_ids=none; finish is separate from rarity.,,,
097,Hypno,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733692; local_target_ids=none; finish is separate from rarity.,,,
098,Krabby,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733693; local_target_ids=none; finish is separate from rarity.,,,
098,Krabby,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733693; local_target_ids=none; finish is separate from rarity.,,,
099,Kingler,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733694; local_target_ids=none; finish is separate from rarity.,,,
099,Kingler,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733694; local_target_ids=none; finish is separate from rarity.,,,
100,Voltorb,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733695; local_target_ids=none; finish is separate from rarity.,,,
100,Voltorb,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733695; local_target_ids=none; finish is separate from rarity.,,,
101,Electrode,Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733696; local_target_ids=none; finish is separate from rarity.,,,
101,Electrode,Rare,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733696; local_target_ids=none; finish is separate from rarity.,,,
102,Exeggcute,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733697; local_target_ids=none; finish is separate from rarity.,,,
102,Exeggcute,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733697; local_target_ids=none; finish is separate from rarity.,,,
103,Exeggutor,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733698; local_target_ids=none; finish is separate from rarity.,,,
103,Exeggutor,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733698; local_target_ids=none; finish is separate from rarity.,,,
104,Cubone,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733699; local_target_ids=none; finish is separate from rarity.,,,
104,Cubone,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733699; local_target_ids=none; finish is separate from rarity.,,,
105,Marowak,Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733700; local_target_ids=none; finish is separate from rarity.,,,
105,Marowak,Rare,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733700; local_target_ids=none; finish is separate from rarity.,,,
106,Hitmonlee,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733701; local_target_ids=none; finish is separate from rarity.,,,
106,Hitmonlee,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733701; local_target_ids=none; finish is separate from rarity.,,,
107,Hitmonchan,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733702; local_target_ids=none; finish is separate from rarity.,,,
107,Hitmonchan,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733702; local_target_ids=none; finish is separate from rarity.,,,
108,Lickitung,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733703; local_target_ids=none; finish is separate from rarity.,,,
108,Lickitung,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733703; local_target_ids=none; finish is separate from rarity.,,,
109,Koffing,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733704; local_target_ids=none; finish is separate from rarity.,,,
109,Koffing,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733704; local_target_ids=none; finish is separate from rarity.,,,
110,Weezing,Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733705; local_target_ids=none; finish is separate from rarity.,,,
110,Weezing,Rare,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733705; local_target_ids=none; finish is separate from rarity.,,,
111,Rhyhorn,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733706; local_target_ids=none; finish is separate from rarity.,,,
111,Rhyhorn,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733706; local_target_ids=none; finish is separate from rarity.,,,
112,Rhydon,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733707; local_target_ids=none; finish is separate from rarity.,,,
112,Rhydon,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733707; local_target_ids=none; finish is separate from rarity.,,,
113,Chansey,Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733708; local_target_ids=none; finish is separate from rarity.,,,
113,Chansey,Rare,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733708; local_target_ids=none; finish is separate from rarity.,,,
114,Tangela,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733709; local_target_ids=none; finish is separate from rarity.,,,
114,Tangela,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733709; local_target_ids=none; finish is separate from rarity.,,,
115,Kangaskhan ex,Double rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733710; local_target_ids=none; finish is separate from rarity.,,,
116,Horsea,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733711; local_target_ids=none; finish is separate from rarity.,,,
116,Horsea,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733711; local_target_ids=none; finish is separate from rarity.,,,
117,Seadra,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733712; local_target_ids=none; finish is separate from rarity.,,,
117,Seadra,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733712; local_target_ids=none; finish is separate from rarity.,,,
118,Goldeen,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733713; local_target_ids=none; finish is separate from rarity.,,,
118,Goldeen,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733713; local_target_ids=none; finish is separate from rarity.,,,
119,Seaking,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733714; local_target_ids=none; finish is separate from rarity.,,,
119,Seaking,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733714; local_target_ids=none; finish is separate from rarity.,,,
120,Staryu,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733715; local_target_ids=none; finish is separate from rarity.,,,
120,Staryu,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733715; local_target_ids=none; finish is separate from rarity.,,,
121,Starmie,Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733716; local_target_ids=none; finish is separate from rarity.,,,
121,Starmie,Rare,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733716; local_target_ids=none; finish is separate from rarity.,,,
122,Mr. Mime,Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733717; local_target_ids=none; finish is separate from rarity.,,,
122,Mr. Mime,Rare,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733717; local_target_ids=none; finish is separate from rarity.,,,
123,Scyther,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733718; local_target_ids=none; finish is separate from rarity.,,,
123,Scyther,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733718; local_target_ids=none; finish is separate from rarity.,,,
124,Jynx ex,Double rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733719; local_target_ids=none; finish is separate from rarity.,,,
125,Electabuzz,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733720; local_target_ids=none; finish is separate from rarity.,,,
125,Electabuzz,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733720; local_target_ids=none; finish is separate from rarity.,,,
126,Magmar,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733721; local_target_ids=none; finish is separate from rarity.,,,
126,Magmar,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733721; local_target_ids=none; finish is separate from rarity.,,,
127,Pinsir,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733722; local_target_ids=none; finish is separate from rarity.,,,
127,Pinsir,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733722; local_target_ids=none; finish is separate from rarity.,,,
128,Tauros,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733723; local_target_ids=none; finish is separate from rarity.,,,
128,Tauros,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733723; local_target_ids=none; finish is separate from rarity.,,,
129,Magikarp,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733724; local_target_ids=none; finish is separate from rarity.,,,
129,Magikarp,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733724; local_target_ids=none; finish is separate from rarity.,,,
130,Gyarados,Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733725; local_target_ids=none; finish is separate from rarity.,,,
130,Gyarados,Rare,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733725; local_target_ids=none; finish is separate from rarity.,,,
131,Lapras,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733726; local_target_ids=none; finish is separate from rarity.,,,
131,Lapras,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733726; local_target_ids=none; finish is separate from rarity.,,,
132,Ditto,Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733727; local_target_ids=none; finish is separate from rarity.,,,
132,Ditto,Rare,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733727; local_target_ids=none; finish is separate from rarity.,,,
133,Eevee,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,"Cardmarket candidate ids=733728,748475,845405; local_target_ids=none; finish is separate from rarity.",stamp=pokemon-together; stamp=snowflake,tcgdex.variants_detailed,SUPPORTED
133,Eevee,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733728; local_target_ids=none; finish is separate from rarity.,,,
133,Eevee,Common,normal,SUPPORTED,tcgdex.variants_detailed,MEDIUM,Treatment is preserved separately and is not promoted to a persisted catalog variant in this sprint.,stamp=pokemon-together,tcgdex.variants_detailed,MEDIUM
133,Eevee,Common,normal,SUPPORTED,tcgdex.variants_detailed,MEDIUM,Treatment is preserved separately and is not promoted to a persisted catalog variant in this sprint.,stamp=snowflake,tcgdex.variants_detailed,MEDIUM
134,Vaporeon,Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733729; local_target_ids=none; finish is separate from rarity.,,,
134,Vaporeon,Rare,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733729; local_target_ids=none; finish is separate from rarity.,,,
135,Jolteon,Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733730; local_target_ids=none; finish is separate from rarity.,,,
135,Jolteon,Rare,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733730; local_target_ids=none; finish is separate from rarity.,,,
136,Flareon,Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733731; local_target_ids=none; finish is separate from rarity.,,,
136,Flareon,Rare,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733731; local_target_ids=none; finish is separate from rarity.,,,
137,Porygon,Common,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733732; local_target_ids=none; finish is separate from rarity.,,,
137,Porygon,Common,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733732; local_target_ids=none; finish is separate from rarity.,,,
138,Omanyte,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733733; local_target_ids=none; finish is separate from rarity.,,,
138,Omanyte,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733733; local_target_ids=none; finish is separate from rarity.,,,
139,Omastar,Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733734; local_target_ids=none; finish is separate from rarity.,,,
139,Omastar,Rare,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733734; local_target_ids=none; finish is separate from rarity.,,,
140,Kabuto,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733735; local_target_ids=none; finish is separate from rarity.,,,
140,Kabuto,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733735; local_target_ids=none; finish is separate from rarity.,,,
141,Kabutops,Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733736; local_target_ids=none; finish is separate from rarity.,,,
141,Kabutops,Rare,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733736; local_target_ids=none; finish is separate from rarity.,,,
142,Aerodactyl,Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733737; local_target_ids=none; finish is separate from rarity.,,,
142,Aerodactyl,Rare,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733737; local_target_ids=none; finish is separate from rarity.,,,
143,Snorlax,Uncommon,normal,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733738; local_target_ids=none; finish is separate from rarity.,,,
143,Snorlax,Uncommon,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733738; local_target_ids=none; finish is separate from rarity.,,,
144,Articuno,Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733739; local_target_ids=none; finish is separate from rarity.,,,
144,Articuno,Rare,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733739; local_target_ids=none; finish is separate from rarity.,,,
145,Zapdos ex,Double rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733740; local_target_ids=none; finish is separate from rarity.,,,
146,Moltres,Rare,holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733741; local_target_ids=none; finish is separate from rarity.,,,
146,Moltres,Rare,reverse_holo,CONFIRMED,tcgdex.variants + tcgdex.variants_detailed,HIGH,Cardmarket candidate ids=733741; local_target_ids=none; finish is separate from rarity.,,,
